world_index,X,Y
0,849,807
0,851,806
0,850,806
0,850,807
0,849,806
0,850,806
0,850,806
0,850,806
0,850,806
0,850,806
0,850,806
0,853,805
0,853,805
0,855,804
0,855,805
0,855,805
0,857,804
0,982,731
3,666,730
3,676,787
3,1075,752
3,1081,742
3,1078,755
4,999,685
4,1092,733
4,1094,736
4,1092,736
4,1093,737
5,1021,687
5,1100,720
5,1101,721
5,1102,722
5,1102,723
6,1033,678
6,1102,725
6,1102,726
6,1103,727
6,1100,722
6,1097,719
6,1117,710
6,1021,680
6,1113,709
7,1025,670
7,1028,670
7,1091,705
7,1014,680
7,1090,704
8,1094,708
8,1019,684
8,1093,707
8,1093,707
8,1093,706
8,1112,700
8,1000,682
8,1111,700
8,1012,677
9,1000,680
9,1088,706
9,1088,705
9,1005,675
9,1088,705
9,1087,705
9,1087,705
9,1086,705
10,1090,711
10,1090,711
10,1088,715
10,1087,715
10,1089,711
10,1090,711
10,1089,711
11,1086,693
11,1086,693
11,1036,746
11,1037,746
11,1037,747
11,1037,747
11,1087,694
11,1087,694
12,1094,732
12,1095,733
12,1087,745
12,1088,745
12,1037,805
12,1038,805
12,1037,805
12,1087,745
13,1083,738
13,1083,739
13,1083,739
13,1026,805
13,1026,806
13,1081,745
13,1080,745
13,1022,808
14,1023,757
14,1010,665
14,1022,756
14,1018,754
14,1015,752
14,995,655
14,1011,754
14,1012,755
15,1004,779
15,989,661
15,988,794
15,988,794
15,987,794
15,978,801
15,979,802
15,969,811
15,968,811
16,969,811
16,969,811
16,959,819
16,959,821
16,960,822
16,960,822
16,960,822
16,961,823
17,985,638
17,957,789
17,956,790
17,957,791
17,947,797
17,947,798
17,948,798
17,948,798
18,985,629
18,985,630
18,980,632
18,981,633
18,982,633
18,981,633
18,981,633
18,981,633
18,981,633
19,946,762
19,939,765
19,939,766
19,939,766
19,939,766
19,939,767
19,938,767
19,937,768
20,946,725
20,1132,610
20,949,724
20,949,724
20,948,724
20,1125,605
20,947,726
21,932,744
21,931,743
21,932,743
21,932,744
21,933,744
21,932,745
21,931,745
21,928,737
21,924,736
21,1069,676
22,1057,657
22,1127,618
22,1136,600
22,978,620
22,973,595
22,969,573
23,1009,665
23,828,603
23,819,580
23,812,560
23,845,536
23,841,523
23,860,516
23,858,505
23,886,485
24,887,478
24,919,462
24,924,469
24,925,472
24,928,474
24,962,458
24,964,461
24,984,448
24,987,450
25,993,438
25,994,439
25,997,443
25,1002,441
25,1004,443
25,1006,445
25,998,453
25,998,454
25,1000,457
26,997,450
26,998,450
26,999,450
26,997,449
26,997,450
26,995,450
26,994,449
26,995,449
27,986,446
27,986,446
27,986,447
27,986,447
27,985,448
27,987,448
27,987,448
27,985,448
28,989,443
28,987,442
28,988,443
28,989,443
28,989,443
28,990,443
28,992,443
28,992,442
28,992,440
29,984,439
29,986,433
29,991,423
29,995,418
29,998,414
29,1001,411
29,1003,406
30,999,399
30,1002,400
30,1003,401
30,1005,400
30,1007,399
30,1008,400
30,1010,401
30,1011,401
30,1012,400
30,1014,401
31,1008,402
31,1009,401
31,1010,401
31,1010,401
31,1010,400
31,1012,399
31,1013,398
31,1014,398
31,1015,399
31,1017,397
31,1017,396
31,1018,396
31,1018,396
32,1011,391
32,1011,392
32,1010,392
32,1011,392
32,1012,393
32,1012,394
32,1013,394
32,1013,394
32,1014,394
32,1015,393
33,1013,398
33,1013,398
33,1013,398
33,1013,398
33,1014,398
33,1014,398
33,1016,401
33,1016,402
33,1016,402
34,1016,394
34,1018,395
34,1018,395
34,1018,395
34,1018,394
34,1019,393
34,1020,392
34,1020,391
35,1020,390
35,1021,389
35,1021,388
35,1022,389
35,1022,390
35,1022,390
35,1022,390
36,1022,390
36,1022,390
36,1022,390
36,1023,389
36,1024,390
36,1024,389
36,1024,389
37,1024,384
37,1023,384
37,1022,387
37,1023,388
37,1022,389
37,1022,389
38,1023,407
38,1023,406
38,1024,406
38,1022,407
38,1021,407
38,1021,407
38,1022,407
38,1022,408
39,839,479
39,839,479
39,839,479
39,839,479
39,839,479
39,839,479
39,839,479
40,1018,391
40,1017,391
40,1017,392
40,1016,391
40,1017,389
40,1017,390
40,1017,390
40,1016,390
41,1018,391
41,1018,392
41,1018,391
41,1017,392
41,1017,392
41,1017,392
41,1017,393
41,1017,393
42,1017,393
42,1018,394
42,1017,394
42,1017,394
42,1016,393
42,1017,394
42,1017,393
43,1019,394
43,1020,394
43,1021,394
43,1021,395
43,1020,394
43,1020,394
43,1020,394
43,1020,394
44,559,2041
44,525,2220
44,452,2747
44,380,3148
44,426,2738
44,426,2738
44,399,2729
44,318,3127
45,1022,387
45,1022,387
45,1022,386
45,1023,386
45,1022,386
45,1023,384
45,1021,383
46,1020,385
46,1019,384
46,1019,384
46,1018,383
46,1018,382
46,1016,381
46,1020,377
46,1017,376
46,1018,373
46,1015,371
46,1017,370
47,1015,368
47,1009,373
47,1008,383
47,999,370
47,1032,448
47,982,365
47,970,360
47,1016,375
47,959,356
48,1064,394
48,956,362
48,1030,434
48,865,510
48,820,445
49,882,487
49,1123,374
49,952,365
49,922,519
49,963,356
49,886,478
50,933,461
50,936,353
50,938,354
50,939,352
50,942,352
50,920,358
51,921,361
51,952,356
51,953,359
51,951,367
51,952,368
51,952,368
52,973,351
52,974,353
52,980,355
52,979,356
52,980,359
52,966,372
52,969,375
53,981,361
53,982,362
53,983,363
53,975,370
53,964,381
53,962,380
53,962,380
54,968,379
54,968,378
54,972,377
54,975,379
54,983,379
54,995,387
54,1001,385
54,1011,394
54,1013,393
55,1017,392
55,1032,386
55,1032,386
55,1034,381
55,1034,382
55,1029,388
55,1028,387
56,1023,392
56,1023,393
56,1022,393
56,1022,393
56,1021,395
56,1021,394
56,1021,394
56,1023,395
57,1028,390
57,1028,390
57,1028,389
57,1028,389
57,1026,388
57,1026,388
57,1026,387
58,1024,398
58,1024,398
58,1024,398
58,1023,398
58,1023,398
58,1023,398
58,1023,398
58,1023,398
59,1024,395
59,1025,394
59,1025,395
59,1023,395
59,1022,395
59,1023,394
59,1024,394
59,1023,394
59,1024,395
60,1023,396
60,1023,395
60,1023,396
60,1023,398
60,1023,397
60,1024,397
60,1024,395
60,1021,397
61,1017,392
61,1003,387
61,993,393
61,975,402
61,945,384
61,920,394
61,893,373
62,865,382
62,848,368
62,823,376
62,804,359
62,785,364
62,782,361
62,766,364
63,751,360
63,754,353
63,755,353
63,759,351
63,760,353
63,761,353
63,764,352
63,762,354
63,763,355
64,747,364
64,748,366
64,748,371
64,750,374
64,752,375
64,753,377
64,757,375
64,758,377
65,756,372
65,757,372
65,758,374
65,760,374
65,761,375
65,759,376
65,759,376
65,760,378
66,751,381
66,752,382
66,751,382
66,751,382
66,753,382
66,755,381
66,755,381
67,752,383
67,751,381
67,750,381
67,751,380
67,752,381
67,753,380
67,753,380
68,724,392
68,726,391
68,725,391
68,729,389
68,731,389
68,731,389
68,732,389
68,736,386
69,720,388
69,722,389
69,723,389
69,723,389
69,724,390
69,725,389
69,727,390
70,728,390
70,728,390
70,731,388
70,732,389
70,732,390
70,733,392
70,733,393
70,734,394
71,733,382
71,733,382
71,734,382
71,735,382
71,735,383
71,736,383
71,738,381
71,739,383
72,725,395
72,723,396
72,722,396
72,722,396
72,722,397
72,723,398
72,725,398
72,729,396
72,729,396
72,732,395
73,723,395
73,724,393
73,725,393
73,724,393
73,725,395
73,727,394
73,727,393
73,728,393
73,729,395
73,732,393
74,729,395
74,730,395
74,731,394
74,732,395
74,733,396
74,735,395
74,736,395
74,737,395
75,730,396
75,733,393
75,734,393
75,736,391
75,736,391
75,739,390
75,739,391
75,741,390
76,722,385
76,725,384
76,725,384
76,729,383
76,730,384
76,733,382
76,734,383
76,736,381
76,737,381
77,733,382
77,734,382
77,736,380
77,737,381
77,738,380
77,740,379
77,741,379
77,742,379
78,735,380
78,736,379
78,737,379
78,738,378
78,738,378
78,739,378
78,741,379
78,740,381
78,741,381
79,929,452
79,929,453
79,930,453
79,930,453
79,930,453
79,930,453
79,932,453
79,932,453
80,734,382
80,736,384
80,736,384
80,736,384
80,738,384
80,738,385
80,738,385
80,739,385
81,730,383
81,731,384
81,732,383
81,733,384
81,736,382
81,737,383
81,739,382
81,740,383
82,735,380
82,737,382
82,738,383
82,739,384
82,740,384
82,741,385
82,741,385
82,742,385
83,740,382
83,740,381
83,741,382
83,742,381
83,743,383
83,743,384
83,744,385
83,744,386
84,868,454
84,864,453
84,864,453
84,864,453
84,853,452
84,854,453
84,839,451
84,842,452
85,659,379
85,646,369
85,632,373
85,625,368
85,606,372
85,599,365
85,588,365
85,585,362
86,575,361
86,575,359
86,579,358
86,579,357
86,584,355
86,586,354
86,586,352
87,580,354
87,583,353
87,581,354
87,581,354
87,583,355
87,583,355
87,578,358
87,579,359
88,574,360
88,575,360
88,577,360
88,577,360
88,578,359
88,579,361
88,579,361
88,580,362
88,579,361
88,581,363
88,583,362
89,576,368
89,578,369
89,579,370
89,581,370
89,583,371
89,586,372
89,588,373
89,601,373
90,604,379
90,622,376
90,632,385
90,645,379
90,656,389
90,654,389
90,653,387
91,667,391
91,668,391
91,665,391
91,663,389
91,663,388
91,661,387
91,659,386
91,659,385
91,658,385
92,648,384
92,647,383
92,645,383
92,647,385
92,645,385
92,646,383
92,647,383
92,647,384
93,641,383
93,643,382
93,643,383
93,643,383
93,644,382
93,646,381
93,647,383
93,648,384
93,648,384
94,639,374
94,640,375
94,640,374
94,640,374
94,641,373
94,641,373
94,641,374
94,642,373
95,652,385
95,652,385
95,652,386
95,653,388
95,653,388
95,653,388
95,654,389
96,636,385
96,638,385
96,637,384
96,639,384
96,638,384
96,638,383
96,640,384
96,640,384
97,649,385
97,648,384
97,648,384
97,648,384
97,648,385
97,641,380
97,634,383
97,617,370
98,596,373
98,581,357
98,536,366
98,520,347
98,503,350
98,500,344
98,489,347
98,489,344
99,486,345
99,485,344
99,486,343
99,487,344
99,487,345
99,490,344
99,490,344
99,491,345
100,490,344
100,490,343
100,490,343
100,491,344
100,487,345
100,488,345
100,489,346
100,491,347
101,484,348
101,486,349
101,486,350
101,488,351
101,488,352
101,491,353
101,491,353
102,494,352
102,493,351
102,496,352
102,495,352
102,496,353
102,495,352
102,497,353
102,497,353
103,498,351
103,498,352
103,499,353
103,499,353
103,502,352
103,502,352
103,504,350
103,505,349
104,500,349
104,500,350
104,499,348
104,500,350
104,501,349
104,500,349
104,501,350
104,501,351
104,503,350
105,501,350
105,502,349
105,503,348
105,503,348
105,503,347
105,503,346
105,503,346
106,501,346
106,500,345
106,500,345
106,501,344
106,501,345
106,502,344
106,502,344
106,502,343
107,498,343
107,498,343
107,498,343
107,498,342
107,496,342
107,496,343
107,496,343
108,497,343
108,496,344
108,496,345
108,496,345
108,496,346
108,495,346
108,496,346
108,496,347
108,496,347
109,497,345
109,497,344
109,498,345
109,500,343
109,500,343
109,502,343
109,502,343
109,502,342
110,501,341
110,503,340
110,503,340
110,503,339
110,505,339
110,505,338
110,508,337
111,506,333
111,506,333
111,506,333
111,507,332
111,508,333
111,510,331
111,510,332
111,512,332
112,508,331
112,509,331
112,509,331
112,510,332
112,509,330
112,506,330
112,503,326
112,498,326
112,497,324
113,490,323
113,489,320
113,487,320
113,488,321
113,488,321
113,488,323
113,490,323
113,491,323
113,490,325
114,488,321
114,489,322
114,489,322
114,490,323
114,490,324
114,490,325
114,490,326
114,491,326
115,488,324
115,488,323
115,489,322
115,488,322
115,489,323
115,489,324
115,490,325
115,489,326
116,482,322
116,482,322
116,482,323
116,482,323
116,481,323
116,481,324
116,481,323
116,480,324
116,480,324
117,480,321
117,480,322
117,481,322
117,482,322
117,483,324
117,484,324
117,485,325
117,485,327
118,478,327
118,478,329
118,478,329
118,478,330
118,478,330
118,477,330
118,478,330
118,478,331
118,479,332
119,476,332
119,479,331
119,480,331
119,480,330
119,480,330
119,479,329
119,478,328
119,480,328
120,477,325
120,478,324
120,481,321
120,480,321
120,484,318
120,484,317
120,487,315
120,487,316
121,480,313
121,485,309
121,485,308
121,487,308
121,493,307
121,493,306
121,492,305
121,486,314
121,442,322
122,523,275
122,444,315
122,619,342
122,419,316
122,628,380
123,388,257
123,644,401
123,612,566
123,475,344
123,618,563
123,453,411
123,667,569
124,466,342
124,471,344
124,513,404
124,486,325
124,488,328
124,489,329
124,491,332
125,446,301
125,447,302
125,503,323
125,504,324
125,504,324
125,507,322
125,507,321
125,506,323
126,506,321
126,508,320
126,510,319
126,510,320
126,511,321
126,511,319
126,512,319
126,509,318
127,506,317
127,472,312
127,472,313
127,487,299
127,487,300
127,488,293
127,488,293
127,486,290
128,484,287
128,482,289
128,482,288
128,483,287
128,482,286
128,482,286
128,483,287
128,484,285
129,486,280
129,486,281
129,485,281
129,485,282
129,485,282
129,484,283
129,484,284
129,483,284
129,483,283
130,482,281
130,482,282
130,483,281
130,483,281
130,485,280
130,486,279
130,487,280
130,488,279
131,478,286
131,479,286
131,479,286
131,479,286
131,481,285
131,481,284
131,482,284
131,482,283
132,487,285
132,488,284
132,489,285
132,490,285
132,491,284
132,490,285
132,490,284
132,490,284
133,486,287
133,486,287
133,485,287
133,485,288
133,484,287
133,485,287
133,485,287
133,485,288
134,478,282
134,478,283
134,479,283
134,479,282
134,479,282
134,479,282
134,479,282
134,480,283
134,479,283
134,479,283
135,477,283
135,477,283
135,478,284
135,477,286
135,477,287
135,477,288
135,477,290
135,478,290
136,477,287
136,478,289
136,479,290
136,478,292
136,478,292
136,478,293
136,479,293
136,479,294
136,479,295
137,477,293
137,477,293
137,477,293
137,477,293
137,478,292
137,478,291
137,480,290
137,481,290
138,480,289
138,480,289
138,480,289
138,482,288
138,482,288
138,482,286
138,482,286
138,484,285
139,480,286
139,480,285
139,481,285
139,481,284
139,482,284
139,484,284
139,485,283
140,475,283
