world_index,X,Y
19,3408.0,832.0
19,3411.0,832.0
21,2788.0,1052.0
21,2789.0,1051.0
23,3660.0,470.0
23,3688.0,481.0
24,3008.0,1014.0
24,3006.0,1014.0
26,2076.0,984.0
26,2066.0,983.0
28,1148.0,452.0
28,1144.0,448.0
29,3057.0,690.0
29,3054.0,689.0
31,478.0,866.0
31,478.0,866.0
33,499.0,882.0
33,499.0,882.0
35,359.0,855.0
35,350.0,854.0
37,4014.0,302.0
37,4015.0,302.0
39,2454.0,626.0
39,2453.0,625.0
40,2450.0,614.0
40,2451.0,614.0
42,2449.0,612.0
42,2448.0,612.0
44,4084.0,247.0
44,4085.0,247.0
46,2436.0,616.0
46,2436.0,616.0
47,2687.0,1048.0
47,2688.0,1048.0
49,6907.0,-1661.0
49,9065.0,-2777.0
50,2445.0,617.0
50,2445.0,617.0
52,2442.0,613.0
52,2442.0,613.0
54,2323.0,638.0
54,2327.0,637.0
55,4020.0,298.0
55,4020.0,298.0
57,4018.0,302.0
57,4018.0,302.0
59,4021.0,301.0
59,4021.0,301.0
60,2780.0,1043.0
60,2780.0,1043.0
62,4022.0,301.0
62,4022.0,301.0
63,4020.0,298.0
63,4020.0,298.0
65,2679.0,916.0
65,2678.0,916.0
66,2385.0,542.0
66,2385.0,542.0
68,3310.0,639.0
68,3310.0,639.0
70,2910.0,643.0
70,2910.0,643.0
71,2852.0,1496.0
71,2852.0,1496.0
73,2426.0,613.0
73,2425.0,613.0
75,2952.0,639.0
75,2952.0,639.0
77,2442.0,613.0
77,2442.0,613.0
78,2415.0,609.0
78,2417.0,610.0
80,2656.0,619.0
80,2579.0,617.0
81,2481.0,663.0
81,2480.0,661.0
83,365.0,550.0
83,364.0,548.0
85,-9808.0,2602.0
85,-10166.0,2697.0
87,2442.0,628.0
87,2441.0,627.0
88,2615.0,623.0
88,2607.0,623.0
89,2761.0,622.0
89,2746.0,620.0
91,5594.0,195.0
91,4977.0,223.0
93,2734.0,613.0
93,2737.0,619.0
94,453.0,525.0
94,438.0,520.0
96,465.0,545.0
96,465.0,545.0
97,2912.0,550.0
97,2947.0,535.0
99,321.0,553.0
99,324.0,553.0
100,3046.0,112.0
100,3046.0,112.0
102,2782.0,1044.0
102,2782.0,1044.0
103,2760.0,1024.0
103,2762.0,1026.0
105,3891.0,340.0
105,3875.0,345.0
106,2415.0,620.0
106,2415.0,620.0
107,390.0,502.0
107,390.0,502.0
109,2894.0,1226.0
109,2941.0,1288.0
110,2439.0,613.0
110,2439.0,614.0
111,2439.0,613.0
111,2439.0,613.0
112,2441.0,613.0
112,2441.0,613.0
113,2438.0,614.0
113,2438.0,614.0
113,2438.0,612.0
113,2438.0,612.0
114,2439.0,612.0
