,world_index,X,Y
17,17,3745.0,2305.0
18,17,3638.0,2208.0
19,18,2442.0,613.0
20,18,2442.0,613.0
21,19,2967.0,983.0
22,19,2978.0,979.0
23,20,3025.0,1014.0
24,20,3022.0,1014.0
25,21,521.0,854.0
26,21,521.0,856.0
27,22,2692.0,815.0
28,22,2690.0,801.0
29,23,2607.0,1082.0
30,23,2608.0,1082.0
31,24,478.0,866.0
32,24,478.0,866.0
33,25,585.0,870.0
34,25,585.0,870.0
35,26,539.0,906.0
36,26,544.0,905.0
37,27,4014.0,304.0
38,27,4014.0,304.0
39,28,2445.0,613.0
40,28,2445.0,613.0
41,29,492.0,856.0
42,29,494.0,859.0
43,30,4025.0,301.0
44,30,4025.0,301.0
45,31,4016.0,304.0
46,31,4016.0,304.0
47,32,2442.0,613.0
48,32,2442.0,613.0
49,33,2778.0,1044.0
50,33,2778.0,1044.0
51,34,2567.0,888.0
52,34,2548.0,891.0
53,35,2445.0,617.0
54,35,2445.0,617.0
55,36,2999.0,668.0
56,36,2597.0,628.0
57,37,4020.0,301.0
58,37,4020.0,301.0
59,38,4084.0,330.0
60,38,4081.0,329.0
61,39,4018.0,302.0
62,39,4018.0,302.0
63,40,2360.0,1146.0
64,40,2360.0,1146.0
65,41,2781.0,1044.0
66,41,2781.0,1044.0
67,42,4022.0,301.0
68,42,4022.0,301.0
69,43,4020.0,298.0
70,43,4020.0,298.0
71,44,2701.0,945.0
72,44,2700.0,944.0
73,45,2442.0,613.0
74,45,2442.0,613.0
75,46,3304.0,639.0
76,46,3304.0,639.0
77,47,2910.0,643.0
78,47,2910.0,643.0
79,48,2575.0,397.0
80,48,2575.0,397.0
81,49,2426.0,613.0
82,49,2425.0,613.0
83,50,2952.0,639.0
84,50,2952.0,639.0
85,51,2442.0,613.0
86,51,2442.0,613.0
87,52,2415.0,609.0
88,52,2417.0,610.0
89,53,3745.0,849.0
90,53,3848.0,865.0
91,54,2392.0,605.0
92,54,2388.0,605.0
93,55,285.0,851.0
94,55,276.0,884.0
95,56,-9808.0,2602.0
96,56,-10166.0,2697.0
97,57,2442.0,613.0
98,57,2442.0,613.0
99,58,2615.0,623.0
100,58,2607.0,623.0
101,59,2675.0,618.0
102,59,2683.0,619.0
103,60,2773.0,619.0
104,60,2778.0,625.0
105,61,2734.0,613.0
106,61,2737.0,619.0
107,62,453.0,525.0
108,62,438.0,520.0
109,63,2445.0,616.0
110,63,2447.0,616.0
111,64,459.0,527.0
112,64,460.0,530.0
113,65,512.0,548.0
114,65,512.0,548.0
115,66,-595.0,605.0
116,66,-598.0,602.0
117,67,2757.0,1042.0
118,67,2753.0,1041.0
119,68,2760.0,1024.0
120,68,2762.0,1026.0
121,69,1041.0,1169.0
122,69,1042.0,1169.0
123,70,2648.0,551.0
124,70,2650.0,550.0
125,71,389.0,502.0
126,71,389.0,502.0
127,72,2735.0,1051.0
128,72,2731.0,1045.0
129,73,2439.0,613.0
130,73,2439.0,614.0
131,74,2439.0,613.0
132,74,2439.0,613.0
133,75,2442.0,613.0
134,75,2442.0,613.0
135,76,2438.0,614.0
136,76,2438.0,614.0
137,77,2438.0,612.0
138,77,2438.0,612.0
139,78,2439.0,612.0
140,78,2439.0,612.0
141,79,2722.0,533.0
142,79,2721.0,534.0
143,80,3264.0,636.0
144,80,3076.0,631.0
150,86,2592.0,586.0
151,88,2486.0,739.0
152,88,2610.0,723.0
156,92,1166.0,127.0
157,93,1058.0,266.0
158,94,1166.0,127.0
159,95,1166.0,129.0
160,96,1166.0,126.0
161,96,1166.0,126.0
162,97,1059.0,158.0
163,97,1062.0,156.0
164,98,1750.0,171.0
165,98,2002.0,233.0
