,world_index,X,Y
0,0,3517,791
1,0,3527,781
2,1,3524,807
3,1,3512,805
4,2,3518,806
5,2,3505,811
6,3,3553,849
7,3,3571,772
8,4,3519,721
9,4,3522,693
10,5,3588,679
11,5,3595,912
12,6,3496,935
13,6,3493,934
14,7,3512,819
15,7,3509,816
16,8,3596,856
17,8,3596,854
18,9,3518,816
19,9,3517,814
20,10,3570,712
21,11,3661,417
22,13,3592,659
23,13,3608,835
24,14,3648,881
25,15,3803,685
26,16,3557,624
27,16,3539,672
28,17,3737,609
29,17,3860,563
30,18,3866,561
31,18,3827,563
32,19,4018,441
33,19,3970,440
34,20,3783,481
35,20,3633,574
36,21,3576,605
37,21,3464,509
38,22,3375,663
39,22,3338,635
40,23,3191,485
41,23,3183,581
42,24,3130,593
43,24,3093,605
44,25,3078,454
45,25,2960,493
46,26,2860,497
47,26,2825,501
48,27,2815,498
49,27,2812,496
50,28,2793,502
51,28,2758,534
52,29,2719,895
53,29,2751,967
54,30,2565,551
55,30,2576,544
56,31,2540,541
57,31,2536,547
58,32,2511,549
59,32,2510,559
60,33,2476,601
61,33,2475,607
62,34,2419,618
63,34,2423,622
64,35,2399,671
65,35,2399,677
66,36,2390,676
67,36,2388,683
68,37,2387,674
69,37,2384,678
70,38,2394,665
71,38,2414,672
72,39,2406,717
73,39,2413,717
74,40,2422,702
75,40,2423,702
76,41,2420,701
77,41,2420,702
78,42,2419,701
79,42,2420,702
80,43,2426,662
81,43,2428,661
82,44,2418,703
83,44,2422,705
84,45,2447,681
85,45,2448,683
86,46,2566,649
87,46,2571,646
88,47,2480,688
89,47,2483,689
90,48,2492,702
91,48,2493,703
92,49,2487,697
93,49,2489,695
94,50,2495,686
95,50,2496,687
96,51,2503,690
97,51,2502,692
98,52,2514,748
99,52,2475,726
100,53,2431,716
101,53,2425,720
102,54,2407,699
103,54,2406,700
104,55,2423,727
105,55,2423,729
106,56,2432,717
107,56,2433,718
108,57,2418,728
109,57,2420,731
110,58,2428,744
111,58,2434,748
112,59,2422,742
113,59,2421,741
114,60,2424,740
115,60,2428,737
116,61,2426,733
117,61,2428,734
118,62,2449,735
119,62,2450,727
120,63,2451,719
121,63,2449,715
122,64,2431,719
123,64,2433,715
124,65,2432,711
125,65,2437,711
126,66,2429,720
127,66,2428,717
128,67,2445,703
129,67,2446,702
130,68,2435,709
131,68,2424,726
132,71,2364,989
133,71,2532,874
134,72,2612,835
135,72,2650,795
136,73,2554,747
137,73,2561,737
138,74,2663,752
139,74,2665,746
140,75,2620,738
141,75,2618,741
142,76,2669,750
143,76,2664,753
144,77,2571,731
145,77,2535,733
146,78,2534,766
147,78,2534,766
148,79,2548,719
149,79,2531,744
150,80,2562,711
151,80,2545,735
152,81,2607,722
153,81,2605,721
154,82,2539,697
155,82,2486,745
156,83,2502,755
157,83,2536,712
158,84,2544,696
159,84,2545,695
160,85,2515,704
