Recording timestamp	Computer timestamp	Sensor	Participant name	Eyetracker timestamp	Event	Pupil diameter left	Pupil diameter right	Eye movement type	Gaze event duration	Fixation point X	Fixation point Y
0	60710259		Arthur		RecordingStart						
173	60710432	Eye Tracker	Arthur	194978472				EyesNotFound	8		
182	60710441	Eye Tracker	Arthur	194986805				EyesNotFound	8		
190	60710449	Eye Tracker	Arthur	194995139				EyesNotFound	8		
198	60710457	Eye Tracker	Arthur	195003472				EyesNotFound	8		
207	60710466	Eye Tracker	Arthur	195011805				EyesNotFound	8		
215	60710474	Eye Tracker	Arthur	195020139				EyesNotFound	8		
223	60710482	Eye Tracker	Arthur	195028472				EyesNotFound	8		
232	60710491	Eye Tracker	Arthur	195036806				EyesNotFound	8		
240	60710499	Eye Tracker	Arthur	195045139				EyesNotFound	8		
248	60710507	Eye Tracker	Arthur	195053541				EyesNotFound	8		
257	60710516	Eye Tracker	Arthur	195061944		3.943	4.103	Fixation	8	960	523
265	60710524	Eye Tracker	Arthur	195070277		3.925	4.107	Fixation	8	955	537
273	60710532	Eye Tracker	Arthur	195078610		3.948	4.099	Fixation	8	960	540
282	60710541	Eye Tracker	Arthur	195086946		3.941	4.097	Fixation	8	955	542
290	60710549	Eye Tracker	Arthur	195095279				EyesNotFound	8		
298	60710557	Eye Tracker	Arthur	195103612				EyesNotFound	8		
307	60710566	Eye Tracker	Arthur	195111945				EyesNotFound	8		
315	60710574	Eye Tracker	Arthur	195120279				EyesNotFound	8		
323	60710582	Eye Tracker	Arthur	195128612		3.917	4.094	Fixation	8	955	527
332	60710591	Eye Tracker	Arthur	195136949		3.948	4.081	Fixation	8	960	529
340	60710599	Eye Tracker	Arthur	195145282		3.930	4.083	Fixation	8	959	520
348	60710607	Eye Tracker	Arthur	195153615		3.925	4.084	Fixation	8	962	525
357	60710616	Eye Tracker	Arthur	195161949		3.911	4.082	Fixation	8	960	525
365	60710624	Eye Tracker	Arthur	195170282		3.929	4.077	Fixation	8	956	529
373	60710632	Eye Tracker	Arthur	195178615		3.882	4.046	Fixation	8	957	530
382	60710641	Eye Tracker	Arthur	195186949		3.887	4.078	Fixation	8	958	534
390	60710649	Eye Tracker	Arthur	195195282		3.883	4.071	Fixation	8	957	528
398	60710657	Eye Tracker	Arthur	195203615		3.904	4.058	Fixation	8	959	536
407	60710666	Eye Tracker	Arthur	195211949		3.897	4.064	Fixation	8	963	537
